category,school_count,pollutant,percentage
Under-monitored & High Risk,656,NO2,70.91891891891892
Under-monitored but Low Risk,182,NO2,19.675675675675674
Covered but High Risk,84,NO2,9.08108108108108
Covered & Safe,3,NO2,0.3243243243243243
Under-monitored & High Risk,569,PM10,61.513513513513516
Covered & Safe,145,PM10,15.675675675675677
Under-monitored but Low Risk,132,PM10,14.270270270270272
Covered but High Risk,79,PM10,8.54054054054054
Under-monitored & High Risk,701,PM2.5,75.78378378378379
Covered & Safe,142,PM2.5,15.35135135135135
Covered but High Risk,82,PM2.5,8.864864864864865
