school_type,count
Grundschule,434
Integrierte Sekundarschule,126
Gymnasium,104
Gemeinschaftsschule,45
Oberstufenzentrum,34
Kombinierte berufliche Schule,34
Fachschule,25
"Förderschwerp. ""Geistige Entwicklung""",20
Übrige Förderschwerpunkte,20
"Förderschwerp. ""Lernen""",15
Kombinierte allgemein bildende Schule,13
Freie Waldorfschule,12
Berufsfachschule,11
Förderschwerp. einschl. beruflichem Teil,5
Berufsschule mit sonderpäd. Aufgaben,5
Volkshochschule,5
Berufsschule,4
Volkshochschul-Kolleg,4
Kolleg,3
"Förderschwerp. ""Lernen""u.""Geistige Entwickl.""",2
Abend-Gymnasium,2
Kombinierte allg./berufl. Schule,1
Fachoberschule,1
