station_id,station_name,pollutant,season,season_year,seasonal_mean,school_count,exposure_burden
010,Wedding,NO2,Summer,2025,13.826086956521738,7,96.78260869565217
010,Wedding,NO2,Winter,2025,21.91111111111111,7,153.3777777777778
010,Wedding,O3,Summer,2025,64.42391304347827,7,450.96739130434787
010,Wedding,O3,Winter,2025,31.822222222222223,7,222.75555555555556
010,Wedding,PM10,Summer,2025,13.58695652173913,7,95.10869565217392
010,Wedding,PM10,Winter,2025,17.533333333333335,7,122.73333333333335
010,Wedding,PM2.5,Summer,2025,7.684782608695652,7,53.79347826086956
010,Wedding,PM2.5,Winter,2025,13.988888888888889,7,97.92222222222222
027,Marienfelde,NO2,Summer,2025,4.8478260869565215,0,0.0
027,Marienfelde,NO2,Winter,2025,10.88888888888889,0,0.0
027,Marienfelde,O3,Summer,2025,65.76086956521739,0,0.0
027,Marienfelde,O3,Winter,2025,37.888888888888886,0,0.0
032,Grunewald,NO2,Summer,2025,4.663043478260869,0,0.0
032,Grunewald,NO2,Winter,2025,10.3,0,0.0
032,Grunewald,O3,Summer,2025,58.14772727272727,0,0.0
032,Grunewald,O3,Winter,2025,36.87777777777778,0,0.0
032,Grunewald,PM10,Summer,2025,11.195652173913043,0,0.0
032,Grunewald,PM10,Winter,2025,12.21111111111111,0,0.0
032,Grunewald,PM2.5,Summer,2025,6.478260869565218,0,0.0
032,Grunewald,PM2.5,Winter,2025,9.88888888888889,0,0.0
042,Neukölln,NO2,Summer,2025,9.73913043478261,12,116.86956521739131
042,Neukölln,NO2,Winter,2025,18.966666666666665,12,227.59999999999997
042,Neukölln,O3,Summer,2025,64.68478260869566,12,776.2173913043479
042,Neukölln,O3,Winter,2025,33.022222222222226,12,396.2666666666667
042,Neukölln,PM10,Summer,2025,16.532608695652176,12,198.39130434782612
042,Neukölln,PM10,Winter,2025,19.314606741573034,12,231.77528089887642
042,Neukölln,PM2.5,Summer,2025,8.630434782608695,12,103.56521739130434
042,Neukölln,PM2.5,Winter,2025,15.460674157303371,12,185.52808988764045
077,Buch,NO2,Summer,2025,6.076086956521739,3,18.22826086956522
077,Buch,NO2,Winter,2025,12.944444444444445,3,38.833333333333336
077,Buch,O3,Summer,2025,52.72826086956522,3,158.18478260869566
077,Buch,O3,Winter,2025,34.22222222222222,3,102.66666666666666
077,Buch,PM10,Summer,2025,11.01086956521739,3,33.03260869565217
077,Buch,PM10,Winter,2025,14.911111111111111,3,44.733333333333334
077,Buch,PM2.5,Summer,2025,6.6521739130434785,3,19.956521739130437
077,Buch,PM2.5,Winter,2025,11.811111111111112,3,35.43333333333334
085,Friedrichshagen,NO2,Summer,2025,5.065217391304348,0,0.0
085,Friedrichshagen,NO2,Winter,2025,10.761363636363637,0,0.0
085,Friedrichshagen,O3,Summer,2025,68.96739130434783,0,0.0
085,Friedrichshagen,O3,Winter,2025,39.05681818181818,0,0.0
085,Friedrichshagen,PM10,Summer,2025,12.141304347826088,0,0.0
085,Friedrichshagen,PM10,Winter,2025,13.75,0,0.0
085,Friedrichshagen,PM2.5,Summer,2025,7.119565217391305,0,0.0
085,Friedrichshagen,PM2.5,Winter,2025,11.215909090909092,0,0.0
117,Schildhornstraße,NO2,Summer,2025,11.108695652173912,11,122.19565217391303
117,Schildhornstraße,NO2,Winter,2025,19.844444444444445,11,218.2888888888889
117,Schildhornstraße,PM10,Summer,2025,13.880434782608695,11,152.68478260869566
117,Schildhornstraße,PM10,Winter,2025,18.666666666666668,11,205.33333333333334
117,Schildhornstraße,PM2.5,Summer,2025,7.760869565217392,11,85.36956521739131
117,Schildhornstraße,PM2.5,Winter,2025,14.633333333333333,11,160.96666666666667
124,Mariendorfer-Damm,NO2,Summer,2025,23.72826086956522,4,94.91304347826087
124,Mariendorfer-Damm,NO2,Winter,2025,27.6,4,110.4
124,Mariendorfer-Damm,PM10,Summer,2025,18.42391304347826,4,73.69565217391305
124,Mariendorfer-Damm,PM10,Winter,2025,26.5,4,106.0
124,Mariendorfer-Damm,PM2.5,Summer,2025,9.956521739130435,4,39.82608695652174
124,Mariendorfer-Damm,PM2.5,Winter,2025,18.133333333333333,4,72.53333333333333
