station_id,station_name,lat,lon,active,components,school_count,school_ids
mc010,010 Wedding,52.54291,13.34926,True,"['pm10_1h' 'pm10_24h' 'pm10_24hg' 'pm10_1m' 'pm10_1y' 'no_1h' 'no_24h'
 'no_1m' 'no_1y' 'no2_1h' 'no2_24h' 'no2_1m' 'no2_1y' 'nox_1h' 'nox_24h'
 'nox_1m' 'nox_1y' 'chb_1h' 'chb_24h' 'chb_1m' 'chb_1y' 'cht_1h' 'cht_24h'
 'cht_1m' 'cht_1y' 'o3_1h' 'o3_8hg' 'o3_24h' 'o3_1m' 'o3_1y' 'mhtemp_1h'
 'pns-d_1h' 'sq-vol25_1h' 'o3_12mg' 'pm10_12mg' 'no_12mg' 'nox_12mg'
 'no2_12mg' 'pm2_1y' 'pm2_1h' 'pm2_24h' 'pm2_1m' 'pm2_12mg' 'ebc_1h'
 'ebc_24h' 'ebc_1m' 'ebc_1y' 'ebcbb_24h' 'ebcbb_1m' 'ebcbb_1y']",26,"['13', '16', '18', '21', '23', '30', '31', '32', '33', '35', '38', '41', '44', '46', '47', '48', '5', '52', '574', '64', '68', '70', '75', '76', '77', '82']"
mc027,027 Marienfelde,52.3984,13.368075,True,"['pm10_24h' 'no_1h' 'no_24h' 'no_1m' 'no_1y' 'no2_1h' 'no2_24h' 'no2_1m'
 'no2_1y' 'nox_1h' 'nox_24h' 'nox_1m' 'nox_1y' 'o3_1h' 'o3_8hg' 'o3_24h'
 'o3_1m' 'o3_1y' 'mhtemp_1h' 'pns-d_1h' 'pm10_1m' 'pm10_1y' 'o3_12mg'
 'no_12mg' 'nox_12mg' 'no2_12mg']",5,"['521', '526', '533', '535', '548']"
mc032,032 Grunewald,52.47319,13.22514,True,"['pm10_1h' 'pm10_24h' 'pm10_24hg' 'pm10_1m' 'pm10_1y' 'no_1h' 'no_24h'
 'no_1m' 'no_1y' 'no2_1h' 'no2_24h' 'no2_1m' 'no2_1y' 'nox_1h' 'nox_24h'
 'nox_1m' 'nox_1y' 'o3_1h' 'o3_8hg' 'o3_24h' 'o3_1m' 'o3_1y' 'mhtemp_1h'
 'pns-d_1h' 'o3_12mg' 'pm10_12mg' 'no_12mg' 'nox_12mg' 'no2_12mg' 'pm2_1y'
 'pm2_1h' 'pm2_24h' 'pm2_1m' 'pm2_12mg']",0,[]
mc042,042 Neukölln,52.489451,13.430844,True,"['pm10_1h' 'pm10_24h' 'pm10_24hg' 'pm10_1m' 'pm10_1y' 'no_1h' 'no_24h'
 'no_1m' 'no_1y' 'no2_1h' 'no2_24h' 'no2_1m' 'no2_1y' 'nox_1h' 'nox_24h'
 'nox_1m' 'nox_1y' 'chb_1h' 'chb_24h' 'chb_1m' 'chb_1y' 'cht_1h' 'cht_24h'
 'cht_1m' 'cht_1y' 'o3_1h' 'o3_8hg' 'o3_24h' 'o3_1m' 'o3_1y' 'mhtemp_1h'
 'pns-d_1h' 'sq-vol10_1h' 'sq-vol25_1h' 'o3_12mg' 'pm10_12mg' 'cht_12mg'
 'chb_12mg' 'no_12mg' 'nox_12mg' 'no2_12mg' 'pm2_1y' 'pm2_1h' 'pm2_24h'
 'pm2_1m' 'pm2_12mg' 'ebc_1h' 'ebc_24h' 'ebc_1m' 'ebc_1y' 'ebcbb_24h'
 'ebcbb_1m' 'ebcbb_1y' 'co_1m' 'co_12mg' 'co_1y' 'co_1h' 'co_8hg' 'co_24h']",47,"['104', '106', '108', '109', '111', '112', '113', '116', '118', '122', '128', '129', '130', '131', '135', '139', '141', '148', '150', '158', '159', '570', '575', '576', '577', '578', '579', '580', '581', '582', '586', '590', '615', '616', '617', '621', '623', '624', '633', '638', '640', '647', '672', '685', '697', '87', '90']"
mc077,077 Buch,52.6441,13.4833,True,"['pm10_1h' 'pm10_24h' 'pm10_24hg' 'pm10_1m' 'pm10_1y' 'no_1h' 'no_24h'
 'no_1m' 'no_1y' 'no2_1h' 'no2_24h' 'no2_1m' 'no2_1y' 'nox_1h' 'nox_24h'
 'nox_1m' 'nox_1y' 'o3_1h' 'o3_8hg' 'o3_24h' 'o3_1m' 'o3_1y' 'mhtemp_1h'
 'pns-d_1h' 'sq-vol10_1h' 'sq-vol25_1h' 'o3_12mg' 'pm10_12mg' 'no_12mg'
 'nox_12mg' 'no2_12mg' 'pm2_1y' 'pm2_1h' 'pm2_24h' 'pm2_1m' 'pm2_12mg'
 'ebc_1h' 'ebc_24h' 'ebc_1m' 'ebc_1y' 'ebcbb_24h' 'ebcbb_1m' 'ebcbb_1y']",5,"['193', '222', '242', '243', '260']"
mc085,085 Friedrichshagen,52.447697,13.64705,True,"['pm10_1h' 'pm10_24h' 'pm10_24hg' 'pm10_1m' 'pm10_1y' 'no_1h' 'no_24h'
 'no_1m' 'no_1y' 'no2_1h' 'no2_24h' 'no2_1m' 'no2_1y' 'nox_1h' 'nox_24h'
 'nox_1m' 'nox_1y' 'o3_1h' 'o3_8hg' 'o3_24h' 'o3_1m' 'o3_1y' 'mhtemp_1h'
 'pns-d_1h' 'o3_12mg' 'pm10_12mg' 'no_12mg' 'nox_12mg' 'no2_12mg' 'pm2_1y'
 'pm2_1h' 'pm2_24h' 'pm2_1m' 'pm2_12mg']",6,"['667', '670', '679', '692', '700', '705']"
mc117,117 Schildhornstraße,52.46362,13.31832,True,"['pm10_1h' 'pm10_24h' 'pm10_24hg' 'pm10_1m' 'pm10_1y' 'no_1h' 'no_24h'
 'no_1m' 'no_1y' 'no2_1h' 'no2_24h' 'no2_1m' 'no2_1y' 'nox_1h' 'nox_24h'
 'nox_1m' 'nox_1y' 'chb_1h' 'chb_24h' 'chb_1m' 'chb_1y' 'cht_1h' 'cht_24h'
 'cht_1m' 'cht_1y' 'co_1h' 'co_8hg' 'co_24h' 'co_1m' 'co_1y' 'mhtemp_1h'
 'pns-d_1h' 'sq-vol10_1h' 'pm10_12mg' 'co_12mg' 'no_12mg' 'nox_12mg'
 'no2_12mg' 'chb_12mg' 'pm2_1y' 'pm2_1h' 'pm2_24h' 'pm2_1m' 'pm2_12mg'
 'cht_12mg']",30,"['295', '302', '334', '352', '431', '432', '433', '447', '450', '453', '457', '463', '467', '468', '469', '476', '480', '487', '488', '489', '493', '508', '509', '510', '539', '541', '556', '558', '563', '564']"
mc124,124 Mariendorfer Damm,52.438115,13.38772,True,"['pm10_1h' 'pm10_24h' 'pm10_24hg' 'pm10_1m' 'pm10_1y' 'no_1h' 'no_24h'
 'no_1m' 'no_1y' 'no2_1h' 'no2_24h' 'no2_1m' 'no2_1y' 'nox_1h' 'nox_24h'
 'nox_1m' 'nox_1y' 'mhtemp_1h' 'pns-d_1h' 'pm10_12mg' 'no_12mg' 'nox_12mg'
 'no2_12mg' 'pm2_1y' 'pm2_1h' 'pm2_24h' 'pm2_1m' 'pm2_12mg']",14,"['444', '515', '516', '518', '520', '524', '529', '537', '547', '551', '552', '557', '565', '567']"
mc145,145 Frohnau,52.65327,13.29608,True,"['pm10_1h' 'pm10_24h' 'pm10_1m' 'pm10_1y' 'no_1h' 'no_24h' 'no_1m' 'no_1y'
 'no2_1h' 'no2_24h' 'no2_1m' 'no2_1y' 'nox_1h' 'nox_24h' 'nox_1m' 'nox_1y'
 'o3_1h' 'o3_8hg' 'o3_24h' 'o3_1m' 'o3_1y' 'mhtemp_1h' 'pns-d_1h'
 'o3_12mg' 'no_12mg' 'nox_12mg' 'no2_12mg']",1,['875']
mc171,171 Mitte,52.51361,13.41883,True,"['pm10_1h' 'pm10_24h' 'pm10_24hg' 'pm10_1m' 'pm10_1y' 'no_1h' 'no_24h'
 'no_1m' 'no_1y' 'no2_1h' 'no2_24h' 'no2_1m' 'no2_1y' 'nox_1h' 'nox_24h'
 'nox_1m' 'nox_1y' 'mhtemp_1h' 'pns-d_1h' 'sq-vol10_1h' 'sq-vol25_1h'
 'pm10_12mg' 'no_12mg' 'nox_12mg' 'no2_12mg' 'pm2_1y' 'pm2_1h' 'pm2_24h'
 'pm2_1m' 'pm2_12mg']",44,"['10', '104', '108', '110', '112', '113', '119', '12', '120', '121', '125', '128', '132', '135', '136', '137', '138', '140', '141', '148', '150', '151', '153', '156', '168', '225', '256', '39', '49', '50', '51', '56', '59', '60', '62', '63', '65', '74', '78', '8', '84', '88', '90', '92']"
