Station;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen
Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte;Tageswerte

01.11.2024;20;16;11;2;12;30
02.11.2024;10;7;7;2;8;46
03.11.2024;21;17;15;3;19;23
04.11.2024;12;10;13;3;16;28
05.11.2024;14;11;11;3;13;26
06.11.2024;19;15;15;4;20;8
07.11.2024;9;7;14;2;16;14
08.11.2024;16;14;7;2;8;31
09.11.2024;27;24;9;2;10;25
10.11.2024;25;21;16;2;16;15
11.11.2024;21;18;13;2;15;6
12.11.2024;19;17;11;2;12;9
13.11.2024;13;11;17;4;23;12
14.11.2024;10;8;14;2;17;29
15.11.2024;16;9;14;2;15;41
16.11.2024;12;9;5;2;5;52
17.11.2024;9;7;4;2;5;50
18.11.2024;6;3;7;2;7;56
19.11.2024;6;4;8;2;8;41
20.11.2024;6;5;8;2;8;54
21.11.2024;6;5;7;2;7;51
22.11.2024;9;7;10;2;11;41
23.11.2024;7;5;7;2;8;48
24.11.2024;6;4;4;2;4;54
25.11.2024;12;7;8;2;8;42
26.11.2024;12;8;13;2;14;34
27.11.2024;10;8;10;3;13;31
28.11.2024;4;3;6;2;7;52
29.11.2024;6;4;8;2;9;39
30.11.2024;11;9;8;2;9;29
01.12.2024;16;14;8;2;9;23
02.12.2024;12;10;12;2;13;23
03.12.2024;11;9;12;2;12;28
04.12.2024;9;7;13;2;13;32
05.12.2024;10;8;9;2;10;40
06.12.2024;9;7;13;2;14;34
07.12.2024;8;6;6;2;7;39
08.12.2024;16;14;5;2;6;31
09.12.2024;11;9;5;2;6;16
10.12.2024;10;8;5;2;5;29
11.12.2024;12;10;8;2;8;38
12.12.2024;17;13;14;2;15;30
13.12.2024;13;11;6;2;7;38
14.12.2024;18;16;12;2;12;22
15.12.2024;9;7;7;2;7;47
16.12.2024;4;3;6;2;6;50
17.12.2024;9;6;8;2;8;54
18.12.2024;7;5;7;2;7;48
19.12.2024;5;3;3;2;4;62
20.12.2024;8;5;5;2;5;63
21.12.2024;6;4;5;2;5;48
22.12.2024;5;3;4;2;5;55
23.12.2024;7;5;7;2;7;56
24.12.2024;8;5;11;2;11;39
25.12.2024;12;10;7;2;7;31
26.12.2024;10;8;6;2;6;23
27.12.2024;6;4;6;2;7;18
28.12.2024;13;11;18;3;21;4
29.12.2024;17;15;22;5;29;7
30.12.2024;12;10;11;2;12;25
31.12.2024;12;10;10;2;10;27
01.01.2025;10;8;5;2;5;54
02.01.2025;7;5;7;2;7;62
03.01.2025;5;3;6;2;7;67
04.01.2025;8;7;7;2;8;58
05.01.2025;;;;;;
06.01.2025;;;;;;
07.01.2025;4;2;3;2;3;69
08.01.2025;5;4;6;2;7;56
09.01.2025;8;6;10;2;11;34
10.01.2025;9;7;13;2;14;46
11.01.2025;7;5;9;2;9;49
12.01.2025;5;3;2;2;2;67
13.01.2025;9;7;14;5;20;48
14.01.2025;16;14;16;2;16;39
15.01.2025;11;9;12;2;14;39
16.01.2025;11;9;7;2;8;49
17.01.2025;17;14;14;2;15;25
18.01.2025;20;15;23;4;28;11
19.01.2025;18;16;11;2;12;17
20.01.2025;27;24;20;3;22;17
21.01.2025;23;20;31;5;37;10
22.01.2025;22;18;21;3;25;16
23.01.2025;12;10;11;2;12;35
24.01.2025;7;5;5;2;5;52
25.01.2025;6;4;8;2;8;52
26.01.2025;8;6;6;2;7;44
27.01.2025;5;4;7;2;6;55
28.01.2025;9;6;10;2;11;46
29.01.2025;6;4;7;2;7;50
30.01.2025;7;5;11;2;12;38
31.01.2025;7;5;9;3;12;61
01.02.2025;13;10;16;2;19;35
02.02.2025;13;10;16;2;17;31
03.02.2025;17;14;13;4;17;23
04.02.2025;25;21;18;3;21;22
05.02.2025;21;18;24;3;28;15
06.02.2025;13;10;8;2;10;42
07.02.2025;14;12;4;2;4;55
08.02.2025;24;21;7;2;7;41
09.02.2025;33;29;9;2;10;30
10.02.2025;37;32;9;2;10;26
11.02.2025;28;24;8;2;9;47
12.02.2025;40;35;11;2;11;27
13.02.2025;46;40;17;2;19;13
14.02.2025;15;12;8;2;10;49
15.02.2025;10;8;15;2;16;46
16.02.2025;14;12;17;2;18;42
17.02.2025;10;8;16;3;19;47
18.02.2025;20;15;35;11;51;26
19.02.2025;16;13;23;5;30;40
20.02.2025;22;19;11;2;14;70
21.02.2025;28;24;10;2;11;57
22.02.2025;24;21;6;2;6;75
23.02.2025;20;17;12;2;12;49
24.02.2025;13;11;9;2;10;45
25.02.2025;15;11;10;2;12;37
26.02.2025;20;17;11;2;12;19
27.02.2025;14;11;8;2;9;48
28.02.2025;14;11;14;3;18;34
01.03.2025;;;8;2;9;52
02.03.2025;;;7;2;8;64
03.03.2025;;;13;2;14;64
04.03.2025;18;12;21;2;23;51
05.03.2025;15;11;15;2;17;58
06.03.2025;18;13;15;2;17;60
07.03.2025;22;16;14;2;16;64
08.03.2025;30;24;12;2;14;71
09.03.2025;42;34;11;2;11;79
10.03.2025;49;38;20;5;27;60
11.03.2025;48;39;20;2;22;33
12.03.2025;33;27;16;2;19;34
13.03.2025;16;12;12;2;14;43
14.03.2025;19;14;21;3;25;35
15.03.2025;21;19;6;2;6;47
16.03.2025;16;14;5;2;6;55
17.03.2025;5;3;4;2;4;70
18.03.2025;11;7;15;2;17;54
19.03.2025;14;10;14;2;14;57
20.03.2025;18;12;12;2;14;64
21.03.2025;24;17;13;2;14;74
22.03.2025;23;17;5;2;5;86
23.03.2025;27;21;5;2;5;83
24.03.2025;27;21;8;2;8;62
25.03.2025;34;28;10;3;13;48
26.03.2025;18;15;11;2;13;45
27.03.2025;16;12;13;2;16;34
28.03.2025;15;12;5;2;7;59
29.03.2025;22;18;7;2;8;59
30.03.2025;9;7;8;2;8;61
31.03.2025;9;7;4;2;5;60
01.04.2025;8;6;4;2;5;60
02.04.2025;14;11;5;2;6;60
03.04.2025;10;5;6;2;7;62
04.04.2025;10;5;7;2;9;60
05.04.2025;9;5;4;2;4;72
06.04.2025;5;3;4;2;4;76
07.04.2025;7;3;6;2;6;77
08.04.2025;8;4;6;2;6;71
09.04.2025;13;7;7;2;8;65
10.04.2025;17;10;6;2;6;74
11.04.2025;22;14;7;2;7;79
12.04.2025;19;13;8;2;9;56
13.04.2025;15;10;5;2;6;69
14.04.2025;16;10;8;2;9;71
15.04.2025;14;10;4;2;4;77
16.04.2025;14;9;6;2;7;73
17.04.2025;28;14;7;2;6;79
18.04.2025;17;13;7;2;7;34
19.04.2025;8;6;4;2;4;54
20.04.2025;17;14;4;2;5;58
21.04.2025;17;14;7;2;7;52
22.04.2025;10;7;8;2;10;49
23.04.2025;15;11;5;2;8;47
24.04.2025;11;7;4;2;5;72
25.04.2025;12;8;4;2;4;72
26.04.2025;8;4;2;2;3;76
27.04.2025;11;6;3;2;3;85
28.04.2025;12;6;7;2;8;82
29.04.2025;13;7;9;2;10;64
30.04.2025;10;5;6;3;9;57
01.05.2025;10;7;4;2;5;72
02.05.2025;17;9;5;2;5;95
03.05.2025;14;10;5;2;5;60
04.05.2025;8;4;2;2;2;72
05.05.2025;6;3;3;2;3;53
06.05.2025;9;4;4;2;6;59
07.05.2025;9;4;3;2;3;66
08.05.2025;9;5;5;2;5;64
09.05.2025;11;6;6;2;7;63
10.05.2025;10;6;5;2;5;64
11.05.2025;9;6;3;2;2;69
12.05.2025;12;6;3;2;4;83
13.05.2025;13;7;5;2;6;76
14.05.2025;21;7;8;2;10;78
15.05.2025;13;4;2;2;2;81
16.05.2025;11;5;5;2;5;70
17.05.2025;8;5;5;2;6;70
18.05.2025;7;4;4;2;3;72
19.05.2025;10;6;4;2;3;65
20.05.2025;15;9;10;2;12;71
21.05.2025;16;7;5;2;6;86
22.05.2025;16;6;3;2;4;82
23.05.2025;6;3;5;2;6;69
24.05.2025;8;5;4;2;5;74
25.05.2025;9;7;3;2;3;65
26.05.2025;11;7;7;2;7;60
27.05.2025;12;7;5;2;6;73
28.05.2025;7;4;4;2;5;66
29.05.2025;8;4;3;2;3;79
30.05.2025;12;8;3;2;4;59
31.05.2025;12;8;7;2;7;58
01.06.2025;11;8;4;2;4;83
02.06.2025;17;11;6;2;6;78
03.06.2025;13;8;6;2;6;85
04.06.2025;15;11;4;2;4;70
05.06.2025;12;7;5;2;5;68
06.06.2025;7;4;4;2;4;78
07.06.2025;7;4;4;2;4;72
08.06.2025;8;5;2;2;3;67
09.06.2025;8;5;2;2;4;73
10.06.2025;17;13;6;2;7;71
11.06.2025;12;8;3;2;3;82
12.06.2025;10;6;4;2;5;70
13.06.2025;8;5;2;2;3;79
14.06.2025;12;8;3;2;3;103
15.06.2025;15;10;4;2;3;109
16.06.2025;11;6;5;2;6;77
17.06.2025;14;9;7;2;8;81
18.06.2025;16;10;7;2;7;89
19.06.2025;11;6;3;2;3;80
20.06.2025;11;6;4;2;4;70
21.06.2025;11;7;6;2;7;83
22.06.2025;13;9;7;2;7;94
23.06.2025;14;7;3;2;3;88
24.06.2025;13;6;4;2;4;86
25.06.2025;10;6;4;2;4;60
26.06.2025;10;6;4;2;4;78
27.06.2025;10;7;5;2;5;63
28.06.2025;11;7;5;2;5;79
29.06.2025;9;5;2;2;2;72
30.06.2025;12;6;4;2;4;74
01.07.2025;12;6;4;2;3;85
02.07.2025;14;6;5;2;5;108
03.07.2025;13;6;3;2;3;91
04.07.2025;10;5;4;2;4;70
05.07.2025;11;5;5;2;5;96
06.07.2025;9;4;3;2;3;97
07.07.2025;6;3;5;2;4;73
08.07.2025;10;5;4;2;4;65
09.07.2025;9;5;3;2;3;58
10.07.2025;10;7;6;2;8;59
11.07.2025;9;5;5;2;7;56
12.07.2025;8;6;5;2;6;40
13.07.2025;9;6;4;2;4;46
14.07.2025;16;10;7;2;8;61
15.07.2025;13;9;9;2;9;59
16.07.2025;11;6;7;2;9;55
17.07.2025;12;7;8;2;9;41
18.07.2025;14;8;3;2;3;68
19.07.2025;16;10;5;2;7;66
20.07.2025;17;11;3;2;3;80
21.07.2025;16;10;7;2;8;66
22.07.2025;10;6;5;2;6;65
23.07.2025;11;7;7;2;7;58
24.07.2025;13;8;8;2;9;57
25.07.2025;13;9;6;2;8;59
26.07.2025;12;8;5;2;5;52
27.07.2025;14;9;5;2;6;57
28.07.2025;12;7;4;2;3;59
29.07.2025;9;5;5;2;4;61
30.07.2025;9;5;6;2;6;63
31.07.2025;9;6;5;2;6;60
01.08.2025;10;7;7;2;7;58
02.08.2025;10;6;5;2;6;52
03.08.2025;8;5;4;2;4;47
04.08.2025;9;6;5;2;5;58
05.08.2025;10;7;5;2;6;53
06.08.2025;9;5;5;2;5;56
07.08.2025;12;6;6;2;8;61
08.08.2025;16;8;10;2;11;72
09.08.2025;18;10;8;2;9;67
10.08.2025;13;8;4;2;5;74
11.08.2025;13;7;6;2;7;62
12.08.2025;15;8;5;2;6;73
13.08.2025;18;8;5;2;6;101
14.08.2025;24;12;6;2;7;102
15.08.2025;28;15;5;2;5;107
16.08.2025;17;10;4;2;4;75
17.08.2025;13;7;4;2;4;60
18.08.2025;7;4;4;2;5;55
19.08.2025;10;5;4;2;7;61
20.08.2025;14;7;3;2;4;65
21.08.2025;11;4;5;2;5;67
22.08.2025;11;4;4;2;6;61
23.08.2025;6;3;4;2;5;61
24.08.2025;7;4;5;2;5;52
25.08.2025;11;5;8;2;8;53
26.08.2025;12;5;8;2;11;52
27.08.2025;16;8;7;2;8;85
28.08.2025;21;16;10;2;11;48
29.08.2025;17;13;8;2;11;32
30.08.2025;15;9;7;2;9;38
31.08.2025;11;7;5;2;7;44
01.09.2025;10;6;7;2;8;65
02.09.2025;8;6;8;2;11;37
03.09.2025;7;4;4;2;5;57
04.09.2025;8;4;7;2;8;55
05.09.2025;9;5;8;2;9;48
06.09.2025;9;5;5;2;5;46
07.09.2025;9;6;4;2;4;46
08.09.2025;10;6;5;2;5;53
09.09.2025;20;13;7;2;9;55
10.09.2025;22;15;7;2;8;59
11.09.2025;10;7;6;2;7;55
12.09.2025;6;4;5;2;5;52
13.09.2025;8;5;3;2;4;47
14.09.2025;8;5;5;2;5;47
15.09.2025;6;4;4;2;5;41
16.09.2025;8;4;3;2;4;63
17.09.2025;9;5;5;2;6;57
18.09.2025;7;4;5;2;6;48
19.09.2025;12;9;8;2;8;46
20.09.2025;13;8;10;2;9;70
21.09.2025;13;8;5;2;4;67
22.09.2025;9;5;5;2;5;44
23.09.2025;7;4;6;2;7;40
24.09.2025;7;3;4;2;5;53
25.09.2025;10;4;4;2;6;59
26.09.2025;14;5;5;2;6;57
27.09.2025;15;7;4;2;5;58
28.09.2025;14;8;6;2;6;55
29.09.2025;11;7;5;2;6;37
30.09.2025;12;8;4;2;5;28
01.10.2025;18;14;7;2;9;18
02.10.2025;15;11;7;4;12;26
03.10.2025;15;12;6;2;8;38
04.10.2025;10;8;4;2;4;53
05.10.2025;7;4;2;2;3;58
06.10.2025;10;6;6;2;7;55
07.10.2025;11;8;11;2;12;29
08.10.2025;10;7;10;2;10;20
09.10.2025;10;6;7;2;8;48
10.10.2025;12;8;7;2;7;49
11.10.2025;11;7;5;2;6;66
12.10.2025;8;6;5;2;6;54
13.10.2025;8;5;9;2;10;29
14.10.2025;10;6;15;2;16;17
15.10.2025;11;7;13;3;17;19
16.10.2025;9;6;10;2;9;43
17.10.2025;10;5;8;2;8;54
18.10.2025;7;5;4;2;4;45
19.10.2025;12;10;6;2;7;36
20.10.2025;11;8;7;2;8;48
21.10.2025;10;7;5;2;4;54
22.10.2025;11;7;7;2;9;25
23.10.2025;10;8;6;2;6;36
24.10.2025;5;3;4;2;4;58
25.10.2025;5;3;3;2;3;57
26.10.2025;5;3;3;2;2;62
27.10.2025;5;3;5;2;5;57
28.10.2025;6;4;6;2;6;54
29.10.2025;7;5;5;2;6;49
30.10.2025;7;4;6;2;7;53
31.10.2025;12;8;9;2;9;38
