station_id,station_name,lat,lon,active,components
mc010,010 Wedding,52.54291,13.34926,True,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'chb_1h', 'chb_24h', 'chb_1m', 'chb_1y', 'cht_1h', 'cht_24h', 'cht_1m', 'cht_1y', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'mhtemp_1h', 'pns-d_1h', 'sq-vol25_1h', 'o3_12mg', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg', 'ebc_1h', 'ebc_24h', 'ebc_1m', 'ebc_1y', 'ebcbb_24h', 'ebcbb_1m', 'ebcbb_1y']"
mc018,018 Schöneberg,52.48579,13.34885,False,"['no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'mhtemp_1h', 'pns-d_1h', 'pm10_1y', 'no_12mg', 'nox_12mg', 'no2_12mg']"
mc027,027 Marienfelde,52.3984,13.368075,True,"['pm10_24h', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'mhtemp_1h', 'pns-d_1h', 'pm10_1m', 'pm10_1y', 'o3_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg']"
mc032,032 Grunewald,52.47319,13.22514,True,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'mhtemp_1h', 'pns-d_1h', 'o3_12mg', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg']"
mc042,042 Neukölln,52.489451,13.430844,True,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'chb_1h', 'chb_24h', 'chb_1m', 'chb_1y', 'cht_1h', 'cht_24h', 'cht_1m', 'cht_1y', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'mhtemp_1h', 'pns-d_1h', 'sq-vol10_1h', 'sq-vol25_1h', 'o3_12mg', 'pm10_12mg', 'cht_12mg', 'chb_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg', 'ebc_1h', 'ebc_24h', 'ebc_1m', 'ebc_1y', 'ebcbb_24h', 'ebcbb_1m', 'ebcbb_1y', 'co_1m', 'co_12mg', 'co_1y', 'co_1h', 'co_8hg', 'co_24h']"
mc077,077 Buch,52.6441,13.4833,True,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'mhtemp_1h', 'pns-d_1h', 'sq-vol10_1h', 'sq-vol25_1h', 'o3_12mg', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg', 'ebc_1h', 'ebc_24h', 'ebc_1m', 'ebc_1y', 'ebcbb_24h', 'ebcbb_1m', 'ebcbb_1y']"
mc085,085 Friedrichshagen,52.447697,13.64705,True,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'mhtemp_1h', 'pns-d_1h', 'o3_12mg', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg']"
mc115,115 Hardenbergplatz,52.50663,13.332976,False,"['no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'mhtemp_1h', 'pns-d_1h', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'pm10_24h', 'pm10_1m', 'pm10_1y', 'no_12mg', 'nox_12mg', 'no2_12mg']"
mc117,117 Schildhornstraße,52.46362,13.31832,True,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'chb_1h', 'chb_24h', 'chb_1m', 'chb_1y', 'cht_1h', 'cht_24h', 'cht_1m', 'cht_1y', 'co_1h', 'co_8hg', 'co_24h', 'co_1m', 'co_1y', 'mhtemp_1h', 'pns-d_1h', 'sq-vol10_1h', 'pm10_12mg', 'co_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'chb_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg', 'cht_12mg']"
mc124,124 Mariendorfer Damm,52.438115,13.38772,True,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'mhtemp_1h', 'pns-d_1h', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg']"
mc143,143 Silbersteinstraße,52.46752,13.44162,False,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'mhtemp_1h', 'pns-d_1h', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg']"
mc145,145 Frohnau,52.65327,13.29608,True,"['pm10_1h', 'pm10_24h', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'mhtemp_1h', 'pns-d_1h', 'o3_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg']"
